"Building name (this seems to be used as a label on current TC page, alongside Hub name)",Computing Hub name (as per Dynamics),Computing Hub name to display on the new page,"URLs for ""View courses"" buttons should look like this",Sub deliver ID for hubs course buttons,Region,Address,Postcode,Contact email,Contact phone number,Website/microsite address:,Twitter handle and URL,Facebook handle
Beauchamp College,Computing - Leicester and East Midlands,Leicester and East Midlands,https://teachcomputing.org/courses/hubs/52f37f29-32de-e911-a812-000d3a86d6ce,52f37f29-32de-e911-a812-000d3a86d6ce,East Midlands,"Beauchamp College, Ridge Way, Oadby",LE2 5TP,teachcomputing@lionhearttrust.org.uk,01162 986234,https://lionhearttrust.org.uk/about-us/partnerships/computing-hub/,@ComputingHubLEI,
The Priory Academy,Computing - Lincolnshire,Lincolnshire,https://teachcomputing.org/courses/hubs/f8e43c3e-3ed0-ea11-a813-000d3a86d545,f8e43c3e-3ed0-ea11-a813-000d3a86d545,East Midlands,"The Priory Academy LSST, Cross O'Cliff Hill, Lincoln",LN5 8PW,Teachcomputing@lincstsa.co.uk,01522 889297,,@lincstsa,
Denbigh School,Computing - Milton Keynes and Northamptonshire,Milton Keynes and Northamptonshire,https://teachcomputing.org/courses/hubs/d9fc0fa9-32de-e911-a812-000d3a86d6ce,d9fc0fa9-32de-e911-a812-000d3a86d6ce,East Midlands,"Denbigh School, Burchard Crescent, Shenley Church End",MK5 6EX,teachcomputing@denbigh.net ,01908 330578,https://computingmkn.org/,@computinghubmkn,@ComputingHubMKN
All Saints RC School,Computing - Nottingham North Satellite,Nottingham North Satellite,https://teachcomputing.org/courses/hubs/6a240f87-d83e-eb11-a813-000d3a86d545,6a240f87-d83e-eb11-a813-000d3a86d545,East Midlands,,,,,,,
Beauchamp College,Computing - Nottingham South Satellite,Nottingham South Satellite,https://teachcomputing.org/courses/hubs/770aafb7-d83e-eb11-a813-000d3a86d545,770aafb7-d83e-eb11-a813-000d3a86d545,East Midlands,,,,,,,
Chesterton Community College,Computing - Cambridge and Northamptonshire,Cambridge and Northamptonshire,https://teachcomputing.org/courses/hubs/47cccc6a-32de-e911-a812-000d3a86d6ce,47cccc6a-32de-e911-a812-000d3a86d6ce,East of England,"Chesterton Community College, Gilbert Road, Cambridge",CB4 3NY,teachcomputing@ccc.tela.org.uk,01223 712150 (ext 136),,@NCCECambridge,
Sandringham School,Computing - London and Hertfordshire,London and Hertfordshire,https://teachcomputing.org/courses/hubs/dbb5d74d-33de-e911-a812-000d3a86d6ce,dbb5d74d-33de-e911-a812-000d3a86d6ce,East of England,"Sandringham School, The Ridgeway, St Albans",AL4 9NX,teachcomputing@albantsa.co.uk,01727 799560,,@ComputingHubSAC,
Saffron Walden County High Sch.,"Computing - London, Hertfordshire and Essex","London, Hertfordshire and Essex",https://teachcomputing.org/courses/hubs/28756140-33de-e911-a812-000d3a86d6ce,28756140-33de-e911-a812-000d3a86d6ce,East of England,"Saffron Walden County High School, Audley End Road, Saffron Walden",CB11 4UH,TeachComputing@swchs.net,01799 513030 (ext 1264),,@NCCESWCHS,
Dereham Neatherd High School,Computing - Norfolk,Norfolk,https://teachcomputing.org/courses/hubs/a4350eaf-32de-e911-a812-000d3a86d6ce,a4350eaf-32de-e911-a812-000d3a86d6ce,East of England,"Dereham Neatherd High School, Norwich Road, Dereham",NR20 3AX,teachcomputing@neatherd.org,01362 697981,https://neatherd.org/NCCEHub/,@TeachCompNflk,@TeachCompNflk
West Suffolk College,Computing - Suffolk,Suffolk,https://teachcomputing.org/courses/hubs/68d76884-33de-e911-a812-000d3a86d6ce,68d76884-33de-e911-a812-000d3a86d6ce,East of England,"West Suffolk College, Out Risbygate, Bury St Edmunds",IP33 3RL,computerhub@wsc.ac.uk,,,,
example: The Priory Academy (Contract Holder),example: Comptuing - Lincolnshire (Sub-deliverer in dynamics),Lincolnshire,example: 15345,,"example: East and South Yorkshire, Humber and Lincs","example: Keyworth Centre, The Priory City of Lincoln Academy, Skellingthorpe Road, Lincoln",example: LN6 0EP,"example: 
handle: @lincstsa
URL: teachcomputing@lincstsa.co.uk",example: 01522 889297,"example:
https://www.lincolnshiretsa.co.uk/computinghub","example: 
Handle: @lincstsa
URL: https://twitter.com/lincstsa
",example: https://www.facebook.com/pages/Lincolnshire-Teaching-School-Alliance/1494684587425792
Westcliff High School for Girls,Computing - London and Essex,London and Essex,https://teachcomputing.org/courses/hubs/bdb0ddba-2792-eb11-b1ac-000d3a86e2cc,bdb0ddba-2792-eb11-b1ac-000d3a86e2cc,London,"Westcliffe School for Girls, Kenilworth Gardens, Westcliff-on-Sea",SS0 0BS,,01702 476026 (ext 326),,@cs_essex,
Newstead Wood School,"Computing - London, Surrey and West Sussex","London, Surrey and West Sussex",https://teachcomputing.org/courses/hubs/4d2c34b0-2892-eb11-b1ac-000d3a86e2cc,4d2c34b0-2892-eb11-b1ac-000d3a86e2cc,London,"Newstead Wood School, Avebury Road, Orpington",BR6 9SA,teachcomputing@newsteadwood.co.uk,01689 853626,,@teachcomp_se,
Cardinal Hume Catholic School,"Computing - Newcastle, Durham and East Cumbria","Newcastle, Durham and East Cumbria",https://teachcomputing.org/courses/hubs/d2eb5c28-2992-eb11-b1ac-000d3a86e2cc,d2eb5c28-2992-eb11-b1ac-000d3a86e2cc,North East,"Cardinal Hume Catholic School, Old Durham Road, Beacon Lough",NE9 6RZ,teachcomputing@cardinalhume.com,0191 487 7638,,@ComputingHubNE,
Kings Priory School,Computing - North East and Northumberland,North East and Northumberland,https://teachcomputing.org/courses/hubs/fcbf7a34-2992-eb11-b1ac-000d3a86e2cc,fcbf7a34-2992-eb11-b1ac-000d3a86e2cc,North East,"Kings Priory School, Huntington Place, Tynemouth",NE30 4RF,teachcomputing@kps.woodard.co.uk,01912 585995,,@NCCENorthEast,
Carmel College,Computing - Tees Valley and Durham,Tees Valley and Durham,https://teachcomputing.org/courses/hubs/1ad8ca0d-2992-eb11-b1ac-000d3a86e2cc,1ad8ca0d-2992-eb11-b1ac-000d3a86e2cc,North East,"Carmel College, The Headlands, Darlington",DL3 8RW,computinghub@carmel.bhcet.org.uk,01325 523428,,@computinghubTVD,@computinghubTVD
The Fallibroome Academy,Computing - Cheshire,Cheshire,https://teachcomputing.org/courses/hubs/f69e187d-2a92-eb11-b1ac-000d3a86e2cc,f69e187d-2a92-eb11-b1ac-000d3a86e2cc,North West,"The Fallibroome Academy, Priory Lane, Upton",SK10 4AF,TeachComputing@eatonbank.org,01260 273000,,@ComputingHubFT,
Cardinal Hume Catholic School,Computing - Cumbria Satellite,Cumbria Satellite,https://teachcomputing.org/courses/hubs/7218e040-2992-eb11-b1ac-000d3a86e2cc,7218e040-2992-eb11-b1ac-000d3a86e2cc,North West,,,,,,,
